Transaction,Item,date_time,period_day,weekday_weekend,store_id,name,postcode,lat,lon,date,temp_max,temp_min,precipitation
1,Bread,10/30/2016 9:58,morning,weekend,store_7,Bostock Bakery,EH39 4HQ,56.058,-2.719,2016-10-30,13.3,9.5,0.0
2,Scandinavian,10/30/2016 10:05,morning,weekend,store_2,Lannan Bakery,EH4 1JP,55.956,-3.219,2016-10-30,13.1,9.5,0.0
2,Scandinavian,10/30/2016 10:05,morning,weekend,store_2,Lannan Bakery,EH4 1JP,55.956,-3.219,2016-10-30,13.1,9.5,0.0
3,Hot chocolate,10/30/2016 10:07,morning,weekend,store_8,Mimi’s Bakehouse,EH6 6RA,55.976,-3.169,2016-10-30,13.1,9.0,0.0
3,Jam,10/30/2016 10:07,morning,weekend,store_8,Mimi’s Bakehouse,EH6 6RA,55.976,-3.169,2016-10-30,13.1,9.0,0.0
3,Cookies,10/30/2016 10:07,morning,weekend,store_8,Mimi’s Bakehouse,EH6 6RA,55.976,-3.169,2016-10-30,13.1,9.0,0.0
4,Muffin,10/30/2016 10:08,morning,weekend,store_2,Lannan Bakery,EH4 1JP,55.956,-3.219,2016-10-30,13.1,9.5,0.0
5,Coffee,10/30/2016 10:13,morning,weekend,store_9,Bandit Bakery,AB10 1UB,57.148,-2.098,2016-10-30,12.6,9.9,1.6
5,Pastry,10/30/2016 10:13,morning,weekend,store_9,Bandit Bakery,AB10 1UB,57.148,-2.098,2016-10-30,12.6,9.9,1.6
5,Bread,10/30/2016 10:13,morning,weekend,store_9,Bandit Bakery,AB10 1UB,57.148,-2.098,2016-10-30,12.6,9.9,1.6
6,Medialuna,10/30/2016 10:16,morning,weekend,store_10,Casella & Polegato,PH1 5JL,56.396,-3.437,2016-10-30,13.1,8.6,0.0
6,Pastry,10/30/2016 10:16,morning,weekend,store_10,Casella & Polegato,PH1 5JL,56.396,-3.437,2016-10-30,13.1,8.6,0.0
6,Muffin,10/30/2016 10:16,morning,weekend,store_10,Casella & Polegato,PH1 5JL,56.396,-3.437,2016-10-30,13.1,8.6,0.0
7,Medialuna,10/30/2016 10:19,morning,weekend,store_4,Cottonrake Bakery,G12 8HL,55.875,-4.293,2016-10-30,12.8,9.1,0.9
7,Pastry,10/30/2016 10:19,morning,weekend,store_4,Cottonrake Bakery,G12 8HL,55.875,-4.293,2016-10-30,12.8,9.1,0.9
